2,20.78,9.89,3448,677,728
3,20.69,10.16,3448,562,739
4,20.23,10.04,3448,502,699
5,20.3,9.77,3448,605,689
6,19.97,9.33,3448,642,650
7,19.45,9.51,3448,513,634
8,19.37,9.8,3448,416,641
9,18.89,9.71,3448,378,616
10,18.95,9.40,3448,461,608
11,18.6,8.94,3448,501,582
12,18.09,9.14,3448,408,571
13,18,9.42,3448,321,577
14,17.57,9.31,3448,296,559
15,20.54,10.92,3448,287,767
16,19.13,10.56,3448,192,656
17,17.67,10.18,3448,135,576
18,13.78,2.92,3448,712,428
20,13.25,1.6,3448,801,401
21,8.79,-0.73,3448,591,372
22,-21.75,-10.1,3448,136,322
23,-20.52,-13.28,3448,284,313
24,7.37,-0.45,3448,464,373
25,8.51,-3.86,3448,786,351
26,7.21,1.88,3448,324,381
28,11.96,2.33,3448,590,403
29,9.61,1.16,3448,500,391
30,12.41,5.07,3448,387,422
31,11.33,3.10,3448,499,405
32,8.71,1.32,3448,441,385
33,-47.35,-24.07,3448,172,301
34,-447.1,-501.9,4233,832,120
